"title","content","date","variant","images","verified","author","rating","product","url","reviewID"
"I CANNOT PUT IT DOWN","From the moment you pick up the book, it's a work of art. The slipcover has a texture that seems to go with the  the selected cover art that was specificly created for the book. As soon as I opened the book and began reading, I could hear Will's voice in my head reading the words to me. Will and Mark did a wonderful job of transferring Will's thoughts, stories and words and bringing his experiences to life in the book. It's such an easy read. I am loving the ""autobiography"" genre lately. It's so fascinating to learn about someone's life and experiences and really realize that we all have so much in common.","18 Nov 2021","","","Yes","Shelly L.","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","RUGKG9YXKRJC5"
"Not signed","Sucks that the pre-order ""signed"" book notice was obviously a lie to get orders and that's not ok. I want to support Will but also wish I had supported an independently owned bookstore instead, if I wasn't going to get a signed copy anyway. That's the reason for my rating but looks to be a great book","12 Nov 2021","","","Yes","Leah Cook","2.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R3FHQAYXVEFKGV"
"Audible was good","I bought the book to highlight important pieces. I figured Will would have a few gems in there. If you are a fan of Will you will enjoy the audible, feels like you are sitting with a friend telling u about his life story. The only reason I didn't give a five is that I felt that the emotions on some parts were not natural but acting (but that's just my opinion). Other than that it was a food listen...I want to hear more.","12 Nov 2021","","","Yes","Faye East","4.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R2VL62VLV7Z79F"
"The truth is not always easy","I loved how open and truthful Will was about his life, about his fears, and insecurities. This book has touched me in so many ways, living in fear of the one you love, rather a parent or a lover, changes you, and all your relationships. I've always been a big fan of Will and Jada. I've always heard little snippets of gossip about his life and relationships. People have a way of criticizing, and passing judgement on things without knowing the full story. This book has filled in a lot of blanks. And has also made me look at my own life, and understand more how fear has changed the dynamics in my life. And has me thinking on how I can change them. Thank you Will for giving us a real part of you!❤️","13 Nov 2021","","","Yes","Iris Jones","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R2ES21JQ0AH0VD"
"Well done Fresh Prince","Finally got the chance to sit down and start reading. I’m not gonna lie, this man has a way with words. I’m glad he collaborated with Mark Manson. It’s a good read so far and I highly recommend it.","15 Nov 2021","","https://m.media-amazon.com/images/I/819mkk-OKiL._SY88.jpg","Yes","jerry perez","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R15RXIEG5O4ICG"
"What a great read!!!!","I was pleasantly surprised with the point of view & style of writing in the book.  I have always enjoyed him on talk shows & watched him last week on Jimmy Fallon.  He was talking about his new book & I thought, why not?  Here we are!  I am at the end of a book that took me on a journey that made me laugh out loud and at other times made me cry!","13 Nov 2021","","","Yes","Jill","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R2M72UZN1G11K8"
"Authentic, Hilarious and Thought provoking","Amazing story Will! But what I got most from this book, other than knowing what u did to get yourself to the top of the hill, other what happened after the string of blockbuster success, other than laughing out loud at some sequences (euphemisms) - is really the importance of self discovery, self awareness, asking critical questions that everyone should be asking in their life. Thank you for this story. Easily one of the best, if not the best memoirs I have came across.","14 Nov 2021","","","Yes","Henry","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R2O75AHYRS10IA"
"Excellent Read - Story Flows Effortlessly","Not sure where to leave the A. to your Q on pg 243, but my answer? ""No, but fortunately for you, the Great Ladies surrounding you have a soft spot for your goofy arse..."" - - :)","16 Nov 2021","","","Yes","TJ","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R16KOX4QGOD9DM"
"GO GET THIS BOOK!","It was therapy, it was church, it was all of those great lessons that the old folks tell you all in one. Cathartic and spiritual. I spent the entire weekend reading and loved every second of it.","15 Nov 2021","","","Yes","Corey","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","RCGJIQIH19PMB"
"Excellent Read","All you wanted to know about Will but was afraid to ask!! Will really bears it all in this book. His story is so raw and authentic that you have to respect his courage to be willing to expose so much in the hope that it helps guide someone else's journey. Kudos to you Will!","16 Nov 2021","","","Yes","Jazz","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews","R3IRP7E4QK6267"
"great book","I just want to know i so admire Will Smith, this book is amazing and everything i thought about him, is beyond word, i dont want to give anything away, just please read the BOOK","16 Nov 2021","","","Yes","veronica mcgee-ross","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews","RU1SLXKKY951P"
"A Must Read!","I read this book in one day. It just flows like that. Page upon page of Will keeping it real and lots of things I never knew. He is not perfect but he is one awesome human. Bravo Will!","14 Nov 2021","","","Yes","AndreaT","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews","R26D0VXCQTJGXB"
"Beautiful and thought provoking story.","Will takes the reader on a beautiful transparent journey into his struggles,  strengths, and his innermost vulnerable self.  Highly recommended reading!","11 Nov 2021","","","Yes","Betty McGovern","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews","R33FF3WNDRS7WK"
"Amazing","I could not put this book down. It was just so real and raw. I cried I laughed I cried and laughed some more. Will really held nothing back in this book. His words and experiences were so impactful that we all can relate to it. At the end of the day we are the only one that can make ourselves happy and content. Don’t look to others or things to define your true self. Highly recommend that everyone should read this book.","16 Nov 2021","","","Yes","Michelle Jones","5.0","Will","https://www.amazon.com/Will-Mark-Manson-ebook/product-reviews/B096LPZXCH/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews","R34GV3H8GU9O02"
